104,11527,ΕΛΛΗΝΟΡΩΣΩΝ
105,54500,ΛΗΤΗ
106,54500,ΔΡΥΜΟΣ
107,54500,Ν.ΣΑΝΤΑ
108,57200,ΠΕΡΙΒΟΛΑΚΙ
109,57200,ΗΡΑΚΛΕΙΟ (ΛΑΓΚΑΔΑ)
110,54500,ΛΑΓΥΝΑ
111,57200,ΚΑΒΑΛΛΑΡΙ
112,57010,ΦΙΛΥΡΟ
113,57200,ΑΓ.ΒΑΣΙΛΕΙΟΣ
114,57010,ΕΞΟΧΗ
115,57010,ΧΟΡΤΙΑΤΗΣ
116,57200,ΒΑΣΙΛΟΥΔΙ
117,57200,ΓΕΡΑΚΑΡΟΥ
118,57200,ΧΡΥΣΑΥΓΗ
119,57200,ΚΟΛΧΙΚΟ
120,57200,ΠΕΝΤΕ ΒΡΥΣΕΣ
121,57200,ΠΟΛΥΔΕΝΔΡΙ
122,57200,ΓΑΛΗΝΗ
123,57200,ΟΣΣΑ
124,14422,Ν.ΗΡΑΚΛΕΙΟ
125,19010,ΚΕΡΑΤΕΑ
126,19010,ΚΑΛΥΒΙΑ
127,19013,ΑΝΑΒΥΣΣΟΣ
128,19013,ΣΑΡΩΝΙΔΑ
129,19400,ΑΓ.ΜΑΡΙΝΑ
130,19013,ΛΑΓΟΝΗΣΙ
131,57200,ΒΕΡΤΙΣΚΟΣ
132,57017,ΚΑΡΤΕΡΑΙ
133,57017,ΛΕΥΚΟΧΩΡΙ
134,57017,ΣΤΕΦΑΝΙΑ
135,57017,ΜΕΛΑΝΘΙΟ
136,57200,ΕΞΑΜΙΛΙΟ
137,12461,ΧΑΪΔΑΡΙ
138,57200,ΚΡΙΘΙΑ
139,57200,ΑΣΣΗΡΟΣ
140,57017,ΞΥΛΟΥΠΟΛΗ
141,57017,ΔΟΡΚΑΔΑ
142,57001,ΘΕΡΜΗ-Ν.ΡΥΣΙΟ
143,57001,ΤΑΓΑΡΑΔΕΣ
144,57001,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ
145,57006,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ
146,57006,ΣΟΥΡΩΤΗ
147,57006,ΒΑΣΙΛΙΚΑ
148,57006,ΛΙΒΑΔΙ
149,57006,ΠΕΡΙΣΤΕΡΑ
150,57006,ΛΑΚΚΙΑ
151,57001,Ν.ΡΑΙΔΕΣΤΟΣ
152,63073,ΑΓΙΑ ΑΝΑΣΤΑΣΙΑ
153,57006,ΓΑΛΑΡΙΝΟΣ
154,63073,Ι.ΜΟΝΗ ΑΓ.ΑΝΑΣΤΑΣΙΑΣ
155,57001,Ν.ΡΥΣΙΟ
156,57500,ΕΠΑΝΩΜΗ
157,57004,Ν.ΜΗΧΑΝΙΩΝΑ
158,57019,ΠΕΡΑΙΑ
159,57019,ΚΕΡΑΣΙΆ
160,57019,ΑΓΙΑ ΤΡΙΑΔΑ
161,57019,Ν.ΕΠΙΒΑΤΕΣ
162,57019,ΑΓΓΕΛΟΧΩΡΙ
163,57500,ΠΛΑΓΙΑΡΙ
164,57500,ΤΡΙΛΟΦΟΣ
165,57500,ΜΕΣΗΜΕΡΙ
166,57500,ΑΝΩ ΣΧΟΛΑΡΙ
167,57500,ΚΑΤΩ ΣΧΟΛΑΡΙ
168,57500,ΚΑΡΔΊΑ
169,57001,ΓΕΩΡΓΙΚΗΣ ΣΧΟΛΗΣ
170,15125,ΜΑΡΟΥΣΙ
171,54628,Β' ΚΤΕΟ Κ.Τ.Ε.Ο. ΚΑΛΟΧΩΡΙ
172,57010,ΠΕΥΚΑ
173,57010,ΑΣΒΕΣΤΟΧΩΡΙ
174,57200,ΠΕΡΙΟΧΗ ΛΑΓΚΑΔΑ
175,57002,ΣΟΧΟΣ
176,57200,ΛΑΓΚΑΔΑΣ
177,12131,ΠΕΡΙΣΤΕΡΙ
178,14452,ΜΕΤΑΜΟΡΦΩΣΗ
179,10563,ΣΥΝΤΑΓΜΑ
180,14234,ΝΕΑ ΙΩΝΙΑ
181,17456,ΑΛΙΜΟΣ
182,15122,ΜΑΡΟΥΣΙ
183,13672,ΑΧΑΡΝΑΙ
184,15127,ΜΕΛΙΣΣΙΑ
185,15343,ΑΓ.ΠΑΡΑΣΚΕΥΗ
186,13671,ΑΧΑΡΝΑΙ
187,11145,ΤΡΕΙΣ ΓΕΦΥΡΕΣ
188,57022,ΣΙΝΔΟΣ
189,54249,ΕΞΟΔΟΣ ΠΡΟΣ ΧΑΛΚΙΔΙΚΗ
190,57001,ΦΟΙΝΙΚΑΣ ΠΥΛΑΙΑ
191,19009,ΠΙΚΕΡΜΙ
